Date,Clicks,Impressions,CTR,Position
2024-12-06,24,1663,1.44%,26.7
2024-12-07,19,1734,1.1%,27.1
2024-12-08,21,1698,1.24%,27.6
2024-12-09,20,1833,1.09%,28.4
2024-12-10,13,1816,0.72%,26.3
2024-12-11,14,1762,0.79%,26.2
2024-12-12,35,1699,2.06%,25.4
2024-12-13,20,1652,1.21%,28.4
2024-12-14,15,1608,0.93%,28.1
2024-12-15,16,1726,0.93%,27.1
2024-12-16,22,1812,1.21%,27.9
2024-12-17,19,1848,1.03%,29
2024-12-18,15,1763,0.85%,28.7
2024-12-19,15,1668,0.9%,29.3
2024-12-20,15,1821,0.82%,30.3
2024-12-21,22,1852,1.19%,29
2024-12-22,20,1881,1.06%,28.3
2024-12-23,21,1847,1.14%,28.4
2024-12-24,13,1624,0.8%,29
2024-12-25,19,1573,1.21%,27.9
2024-12-26,20,1785,1.12%,26.3
2024-12-27,21,1707,1.23%,29
2024-12-28,14,1770,0.79%,28.5
2024-12-29,19,1605,1.18%,26.4
2024-12-30,20,1601,1.25%,28.5
2024-12-31,20,1478,1.35%,27.7
2025-01-01,13,1498,0.87%,25.8
2025-01-02,18,1665,1.08%,27.7
2025-01-03,23,1717,1.34%,29.9
2025-01-04,19,1691,1.12%,25.7
2025-01-05,21,1803,1.16%,29
2025-01-06,19,1654,1.15%,26.6
2025-01-07,21,1741,1.21%,26.1
2025-01-08,24,1668,1.44%,25
2025-01-09,20,1770,1.13%,26
2025-01-10,21,1754,1.2%,26.8
2025-01-11,19,1685,1.13%,26.6
2025-01-12,25,1677,1.49%,28.5
2025-01-13,30,1765,1.7%,27.3
2025-01-14,22,1861,1.18%,28.3
2025-01-15,20,1573,1.27%,24.7
2025-01-16,27,1507,1.79%,22.6
2025-01-17,23,1824,1.26%,27.7
2025-01-18,14,1683,0.83%,29.7
2025-01-19,20,1785,1.12%,29.5
2025-01-20,18,1732,1.04%,28.5
2025-01-21,19,1753,1.08%,27.7
2025-01-22,14,1596,0.88%,26.4
2025-01-23,15,1719,0.87%,26.8
2025-01-24,15,1735,0.86%,29.3
2025-01-25,17,1787,0.95%,31.2
2025-01-26,32,1707,1.87%,29.5
2025-01-27,27,1705,1.58%,29.9
2025-01-28,21,1872,1.12%,29.3
2025-01-29,14,1736,0.81%,29
2025-01-30,20,1949,1.03%,31.7
2025-01-31,22,1877,1.17%,29.9
2025-02-01,18,1771,1.02%,30.2
2025-02-02,20,1879,1.06%,32
2025-02-03,23,1720,1.34%,29
2025-02-04,17,1684,1.01%,26.9
2025-02-05,16,1699,0.94%,28.2
2025-02-06,17,1733,0.98%,29.3
2025-02-07,21,1751,1.2%,30.4
2025-02-08,12,1755,0.68%,30
2025-02-09,24,1679,1.43%,30.4
2025-02-10,19,1865,1.02%,28.5
2025-02-11,17,1727,0.98%,27.9
2025-02-12,20,1740,1.15%,29.2
2025-02-13,11,1748,0.63%,27.8
2025-02-14,12,1651,0.73%,29.5
2025-02-15,20,1778,1.12%,28.6
2025-02-16,14,1631,0.86%,27.5
2025-02-17,19,1856,1.02%,30.5
2025-02-18,20,1931,1.04%,29.7
2025-02-19,21,1891,1.11%,30.1
2025-02-20,22,2146,1.03%,31.1
2025-02-21,23,1954,1.18%,29
2025-02-22,13,1920,0.68%,31.9
2025-02-23,18,1784,1.01%,29.7
2025-02-24,23,2036,1.13%,29.2
2025-02-25,13,1818,0.72%,29.5
2025-02-26,19,1782,1.07%,28.9
2025-02-27,23,1919,1.2%,29.3
2025-02-28,18,1861,0.97%,32.3
2025-03-01,15,1796,0.84%,32.7
2025-03-02,25,1938,1.29%,31.4
2025-03-03,27,1873,1.44%,29.5
2025-03-04,21,1908,1.1%,31.2
2025-03-05,19,1779,1.07%,30.4
2025-03-06,15,1919,0.78%,30.6
2025-03-07,22,1799,1.22%,30.1
2025-03-08,23,1832,1.26%,31.2
2025-03-09,19,1801,1.05%,29.8
2025-03-10,18,1905,0.94%,30.3
2025-03-11,16,1812,0.88%,29.1
2025-03-12,17,1673,1.02%,30
2025-03-13,19,1957,0.97%,29.3
2025-03-14,12,1829,0.66%,30.3
2025-03-15,14,1677,0.83%,30.2
2025-03-16,24,1701,1.41%,29.2
2025-03-17,16,1821,0.88%,29.8
2025-03-18,13,1916,0.68%,28.9
2025-03-19,20,1761,1.14%,27.8
2025-03-20,14,1779,0.79%,30.6
2025-03-21,13,1831,0.71%,30.2
2025-03-22,13,1674,0.78%,29.8
2025-03-23,15,1690,0.89%,28.9
2025-03-24,26,1699,1.53%,28.1
2025-03-25,11,1661,0.66%,30.1
2025-03-26,15,1692,0.89%,27.7
2025-03-27,21,1637,1.28%,27.6
2025-03-28,8,1591,0.5%,28.7
2025-03-29,12,1507,0.8%,29
2025-03-30,7,1671,0.42%,29.7
2025-03-31,23,1786,1.29%,29
2025-04-01,26,1823,1.43%,30.3
2025-04-02,14,1628,0.86%,29
2025-04-03,16,1538,1.04%,26.2
2025-04-04,16,1523,1.05%,27.9
2025-04-05,12,1500,0.8%,28.3
2025-04-06,15,1535,0.98%,27.3
2025-04-07,16,1638,0.98%,27.3
2025-04-08,19,1625,1.17%,25.8
2025-04-09,21,1612,1.3%,26.1
2025-04-10,18,1725,1.04%,27.3
2025-04-11,14,1574,0.89%,26.3
2025-04-12,22,1457,1.51%,26.9
2025-04-13,18,1632,1.1%,28.4
2025-04-14,12,1663,0.72%,28.9
2025-04-15,12,1628,0.74%,28.1
2025-04-16,18,1885,0.95%,33.6
2025-04-17,21,1655,1.27%,29.8
2025-04-18,17,1807,0.94%,31.4
2025-04-19,18,1614,1.12%,32
2025-04-20,16,1672,0.96%,31.2
2025-04-21,14,1792,0.78%,33.8
2025-04-22,13,2003,0.65%,32.3
2025-04-23,12,2025,0.59%,39.3
2025-04-24,21,2101,1%,32.8
2025-04-25,10,1724,0.58%,31.7
2025-04-26,15,1640,0.91%,30.9
2025-04-27,8,1778,0.45%,30.9
2025-04-28,11,1897,0.58%,32.6
2025-04-29,18,1834,0.98%,28.4
2025-04-30,14,2115,0.66%,35.2
2025-05-01,21,1820,1.15%,29
2025-05-02,20,1734,1.15%,30.1
2025-05-03,9,1719,0.52%,30.7
2025-05-04,14,1909,0.73%,30.8
2025-05-05,9,2089,0.43%,32.7
2025-05-06,19,1911,0.99%,29.8
2025-05-07,18,2215,0.81%,36.8
2025-05-08,18,1925,0.94%,31.1
2025-05-09,21,1926,1.09%,32.6
2025-05-10,13,1741,0.75%,34.2
2025-05-11,21,1946,1.08%,32.8
2025-05-12,16,2030,0.79%,32.3
2025-05-13,9,1990,0.45%,31
2025-05-14,17,2264,0.75%,35.3
2025-05-15,30,2033,1.48%,31.7
2025-05-16,10,1714,0.58%,32
2025-05-17,11,1780,0.62%,32.6
2025-05-18,12,1903,0.63%,30.5
2025-05-19,14,2019,0.69%,31.3
2025-05-20,18,1969,0.91%,31.3
2025-05-21,17,1791,0.95%,28.9
2025-05-22,11,1915,0.57%,30.6
2025-05-23,9,1794,0.5%,29.2
2025-05-24,12,1668,0.72%,30.2
2025-05-25,7,1824,0.38%,30.1
2025-05-26,18,1856,0.97%,33.3
2025-05-27,18,1997,0.9%,31.8
2025-05-28,19,1991,0.95%,31.2
2025-05-29,15,1964,0.76%,31.8
2025-05-30,17,1673,1.02%,30.5
2025-05-31,9,1700,0.53%,32.1
2025-06-01,9,1740,0.52%,31.6
2025-06-02,19,1952,0.97%,32.2
2025-06-03,14,1784,0.78%,29.9
2025-06-04,14,1810,0.77%,28.5
2025-06-05,16,1786,0.9%,28.8
2025-06-06,10,1823,0.55%,31.2
2025-06-07,7,1659,0.42%,31.2
2025-06-08,6,1564,0.38%,30.4
2025-06-09,9,1786,0.5%,29.5
2025-06-10,14,1763,0.79%,29.9
2025-06-11,16,1651,0.97%,31.2
2025-06-12,15,1826,0.82%,32.5
2025-06-13,15,1623,0.92%,31.4
2025-06-14,7,1648,0.42%,32
2025-06-15,14,1663,0.84%,28.5
2025-06-16,24,1740,1.38%,30.4
2025-06-17,8,1605,0.5%,29.3
2025-06-18,11,1752,0.63%,30.4
2025-06-19,18,1956,0.92%,30.3
2025-06-20,12,1771,0.68%,30.2
2025-06-21,13,1605,0.81%,28.9
2025-06-22,9,1484,0.61%,28.2
2025-06-23,10,1754,0.57%,32.7
2025-06-24,16,1895,0.84%,28.3
2025-06-25,18,1674,1.08%,27
2025-06-26,21,1799,1.17%,29.4
2025-06-27,15,1773,0.85%,28.7
2025-06-28,13,1768,0.74%,30
2025-06-29,12,1641,0.73%,30.2
2025-06-30,12,1846,0.65%,29.8
2025-07-01,13,1921,0.68%,29.2
2025-07-02,8,1897,0.42%,29.5
2025-07-03,15,1791,0.84%,28.4
2025-07-04,10,1628,0.61%,30.6
2025-07-05,5,1650,0.3%,29.2
2025-07-06,12,1681,0.71%,28.1
2025-07-07,15,2226,0.67%,33.7
2025-07-08,17,1963,0.87%,29.9
2025-07-09,12,1751,0.69%,29.6
2025-07-10,13,2151,0.6%,28.8
2025-07-11,7,1799,0.39%,30.3
2025-07-12,11,1693,0.65%,30.5
2025-07-13,7,1545,0.45%,28.9
2025-07-14,16,1561,1.02%,31.8
2025-07-15,13,1734,0.75%,34.2
2025-07-16,18,1721,1.05%,32.3
2025-07-17,11,1727,0.64%,32.2
2025-07-18,13,1616,0.8%,32.1
2025-07-19,9,1588,0.57%,31.5
2025-07-20,9,1785,0.5%,34.6
2025-07-21,13,1761,0.74%,31.5
2025-07-22,12,1770,0.68%,33.2
2025-07-23,12,1559,0.77%,28.9
2025-07-24,10,1677,0.6%,31.1
2025-07-25,9,1586,0.57%,30.3
2025-07-26,10,1530,0.65%,31.2
2025-07-27,12,1618,0.74%,31.2
2025-07-28,10,1762,0.57%,32.3
2025-07-29,10,1738,0.58%,33.4
2025-07-30,10,1821,0.55%,32.2
2025-07-31,11,1887,0.58%,32.6
2025-08-01,13,1584,0.82%,31.8
2025-08-02,10,1551,0.64%,29.7
2025-08-03,7,1757,0.4%,31.6
2025-08-04,12,1824,0.66%,31.9
2025-08-05,7,1658,0.42%,31.7
2025-08-06,12,1615,0.74%,31.1
2025-08-07,12,1637,0.73%,29.5
2025-08-08,19,1533,1.24%,30.4
2025-08-09,13,1552,0.84%,32.2
2025-08-10,14,1541,0.91%,29.6
2025-08-11,15,1616,0.93%,32.1
2025-08-12,10,1540,0.65%,31.9
2025-08-13,8,1573,0.51%,31.8
2025-08-14,15,1692,0.89%,32.9
2025-08-15,10,1469,0.68%,29.4
2025-08-16,6,1513,0.4%,31.4
2025-08-17,9,1613,0.56%,31.3
2025-08-18,13,1644,0.79%,30.6
2025-08-19,12,1684,0.71%,31
2025-08-20,19,1826,1.04%,31.2
2025-08-21,15,1746,0.86%,33
2025-08-22,12,1787,0.67%,34.8
2025-08-23,10,1937,0.52%,27.9
2025-08-24,10,1680,0.6%,30.8
2025-08-25,10,1992,0.5%,28.6
2025-08-26,10,1822,0.55%,31
2025-08-27,13,1829,0.71%,31
2025-08-28,14,1830,0.77%,30.8
2025-08-29,10,1534,0.65%,30.5
2025-08-30,11,1570,0.7%,32.5
2025-08-31,9,1610,0.56%,31.3
2025-09-01,6,1641,0.37%,32.3
2025-09-02,10,1822,0.55%,33.2
2025-09-03,6,1570,0.38%,30.8
2025-09-04,6,1651,0.36%,31.9
2025-09-05,14,1426,0.98%,29.5
2025-09-06,6,1616,0.37%,30.2
2025-09-07,9,1570,0.57%,29.7
2025-09-08,15,1537,0.98%,28.1
2025-09-09,7,1587,0.44%,29.6
2025-09-10,8,1280,0.62%,25.8
2025-09-11,11,1276,0.86%,26.1
2025-09-12,7,849,0.82%,15.6
2025-09-13,7,812,0.86%,12.1
2025-09-14,12,801,1.5%,12.7
2025-09-15,12,881,1.36%,13.7
2025-09-16,19,753,2.52%,7.8
2025-09-17,19,968,1.96%,15.2
2025-09-18,11,789,1.39%,13.2
2025-09-19,11,812,1.35%,14.5
2025-09-20,14,803,1.74%,11.6
2025-09-21,6,880,0.68%,13.2
2025-09-22,10,1295,0.77%,23.7
2025-09-23,14,828,1.69%,11.6
2025-09-24,12,911,1.32%,13.2
2025-09-25,14,896,1.56%,12.8
2025-09-26,10,794,1.26%,12.8
2025-09-27,8,777,1.03%,13.2
2025-09-28,13,846,1.54%,12.9
2025-09-29,5,871,0.57%,12.3
2025-09-30,9,887,1.01%,13.3
2025-10-01,18,944,1.91%,13.3
2025-10-02,8,845,0.95%,13.9
2025-10-03,14,765,1.83%,13
2025-10-04,11,722,1.52%,9.9
2025-10-05,6,819,0.73%,13.5
2025-10-06,7,855,0.82%,14
2025-10-07,7,941,0.74%,19
2025-10-08,23,958,2.4%,13.9
2025-10-09,15,778,1.93%,9.9
2025-10-10,10,915,1.09%,16.3
2025-10-11,4,794,0.5%,12.3
2025-10-12,6,891,0.67%,14.4
2025-10-13,7,1058,0.66%,13.4
2025-10-14,13,1031,1.26%,12.5
2025-10-15,13,967,1.34%,13.6
2025-10-16,7,894,0.78%,12.2
2025-10-17,14,926,1.51%,13
2025-10-18,7,852,0.82%,11.8
2025-10-19,14,940,1.49%,12.9
2025-10-20,16,955,1.68%,10.9
2025-10-21,12,886,1.35%,11.2
2025-10-22,11,868,1.27%,12.2
2025-10-23,9,932,0.97%,12.2
2025-10-24,13,903,1.44%,11
2025-10-25,12,801,1.5%,13.4
2025-10-26,13,757,1.72%,11.5
2025-10-27,8,847,0.94%,13.2
2025-10-28,13,857,1.52%,12.6
2025-10-29,10,878,1.14%,13.8
2025-10-30,11,823,1.34%,12.7
2025-10-31,3,733,0.41%,13.9
2025-11-01,15,776,1.93%,13.7
2025-11-02,9,898,1%,15.5
2025-11-03,14,787,1.78%,9.7
2025-11-04,13,823,1.58%,11.9
2025-11-05,7,798,0.88%,11.4
2025-11-06,8,764,1.05%,10.7
2025-11-07,4,655,0.61%,10.2
2025-11-08,12,699,1.72%,9.4
2025-11-09,16,718,2.23%,9.7
2025-11-10,14,772,1.81%,11.8
2025-11-11,5,813,0.62%,10.8
2025-11-12,6,744,0.81%,10.5
2025-11-13,5,794,0.63%,9.8
2025-11-14,9,694,1.3%,9.9
2025-11-15,10,715,1.4%,9.7
2025-11-16,10,770,1.3%,9.8
2025-11-17,9,769,1.17%,11
2025-11-18,11,799,1.38%,9.8
2025-11-19,7,758,0.92%,11
2025-11-20,13,747,1.74%,10.6
2025-11-21,16,805,1.99%,10.5
2025-11-22,9,778,1.16%,9.5
2025-11-23,13,809,1.61%,12.5
2025-11-24,11,837,1.31%,11.7
2025-11-25,18,814,2.21%,11.4
2025-11-26,11,755,1.46%,10.9
2025-11-27,13,702,1.85%,11.2
2025-11-28,12,831,1.44%,11.7
2025-11-29,16,675,2.37%,9.8
2025-11-30,12,831,1.44%,11.2
2025-12-01,11,806,1.36%,10.1
2025-12-02,6,888,0.68%,12.3
2025-12-03,7,861,0.81%,15.6
2025-12-04,8,974,0.82%,17
2025-12-05,6,793,0.76%,14.5
2025-12-06,16,779,2.05%,13.1
2025-12-07,7,821,0.85%,15.3
2025-12-08,15,1060,1.42%,19.8
2025-12-09,10,927,1.08%,18
2025-12-10,8,843,0.95%,15.3
2025-12-11,12,994,1.21%,19.4
2025-12-12,12,966,1.24%,13.4
2025-12-13,7,954,0.73%,15.3
2025-12-14,18,1092,1.65%,15.3
2025-12-15,8,978,0.82%,17.4
2025-12-16,16,1102,1.45%,12
2025-12-17,9,1168,0.77%,9.7
2025-12-18,15,1380,1.09%,11.1
2025-12-19,22,1548,1.42%,11.9
2025-12-20,14,1511,0.93%,9
2025-12-21,11,1696,0.65%,11.5
2025-12-22,8,1928,0.41%,10.8
2025-12-23,10,1836,0.54%,9.6
2025-12-24,11,1852,0.59%,10.7
2025-12-25,18,1775,1.01%,8.9
2025-12-26,23,2141,1.07%,7.1
2025-12-27,20,2147,0.93%,6.8
2025-12-28,21,2265,0.93%,9.2
2025-12-29,18,2407,0.75%,9.4
2025-12-30,21,2404,0.87%,7.1
2025-12-31,14,2299,0.61%,8.2
2026-01-01,18,2253,0.8%,9.9
2026-01-02,17,2296,0.74%,7.7
2026-01-03,24,2811,0.85%,6.7
2026-01-04,11,2588,0.43%,9
2026-01-05,26,2947,0.88%,7.5
2026-01-06,34,2627,1.29%,7.1
2026-01-07,29,2852,1.02%,10.1
2026-01-08,27,3122,0.86%,10.1
2026-01-09,23,3544,0.65%,13.8
2026-01-10,29,3382,0.86%,11.5
2026-01-11,43,3256,1.32%,10.7
2026-01-12,22,3051,0.72%,8.3
2026-01-13,28,3406,0.82%,9.4
2026-01-14,25,3364,0.74%,8.5
2026-01-15,28,3377,0.83%,9.4
2026-01-16,27,3498,0.77%,7.8
2026-01-17,22,3151,0.7%,7.7
2026-01-18,23,3161,0.73%,8.8
2026-01-19,15,3415,0.44%,8.7
2026-01-20,19,3403,0.56%,9.1
2026-01-21,32,3392,0.94%,8.3
2026-01-22,26,3687,0.71%,9.7
2026-01-23,19,3794,0.5%,7.5
2026-01-24,36,4922,0.73%,6.8
2026-01-25,25,3704,0.67%,7.9
2026-01-26,27,3706,0.73%,9.1
2026-01-27,24,3776,0.64%,8.7
2026-01-28,46,4285,1.07%,8.1
